"","Country","Year","Age","Deaths_females","Deaths_males"
"520","Japan","2020",95,112804.48587645,32162.57704216
"521","Mexico","2020",0,65453.613440509,84414.256795596
"522","Mexico","2020",5,1250.93171521,1611.01060542
"523","Mexico","2020",10,1510.841775264,2532.019212228
"524","Mexico","2020",15,2553.526269,6065.496375702
"525","Mexico","2020",20,3270.153281076,10441.985693843
"526","Mexico","2020",25,3796.906839992,13291.41945777
"527","Mexico","2020",30,4424.099911656,13374.63840186
"528","Mexico","2020",35,5829.233769428,14179.030804112
"529","Mexico","2020",40,8322.585370074,16573.659576444
"530","Mexico","2020",45,12161.7348065,21215.830161105
"531","Mexico","2020",50,16659.109089539,25954.15695474
"532","Mexico","2020",55,22005.924253243,32153.570574511
"533","Mexico","2020",60,28069.887065339,37485.82720298
"534","Mexico","2020",65,34269.222764196,42287.885700482
"535","Mexico","2020",70,37243.265765524,42379.647279213
"536","Mexico","2020",75,41208.851180368,42862.635307634
"537","Mexico","2020",80,40804.627617934,36930.746114028
"538","Mexico","2020",85,38011.93430358,29539.2120865
"539","Mexico","2020",90,27730.18403022,18992.16005496
"540","Mexico","2020",95,15278.00744544,9661.13028206
"541","Netherlands","2020",0,991.8924,1171.4108
"542","Netherlands","2020",5,21.7485,27.53358
"543","Netherlands","2020",10,31.91797,43.35561
"544","Netherlands","2020",15,64.27343,130.39525
"545","Netherlands","2020",20,84.72851,193.26728
"546","Netherlands","2020",25,110.93502,202.93427
"547","Netherlands","2020",30,170.1056,245.5011
"548","Netherlands","2020",35,247.55927,334.8605
