"","Country","Year","Age","Female","Male","Total"
"679","New Zealand","2020",90,17167,10011,27178
"680","New Zealand","2020",95,5070,2095,7165
"681","Pakistan","2020",0,13453556,14509296,27962852
"682","Pakistan","2020",5,12273189,13226191,25499380
"683","Pakistan","2020",10,11296757,12154761,23451518
"684","Pakistan","2020",15,10532903,11443015,21975918
"685","Pakistan","2020",20,10030306,10741968,20772274
"686","Pakistan","2020",25,9337097,9820991,19158088
"687","Pakistan","2020",30,8221159,8597168,16818327
"688","Pakistan","2020",35,6853394,7144302,13997696
"689","Pakistan","2020",40,5692604,5922918,11615522
"690","Pakistan","2020",45,4728045,4905180,9633225
"691","Pakistan","2020",50,4054023,4176690,8230713
"692","Pakistan","2020",55,3405944,3485956,6891900
"693","Pakistan","2020",60,2613081,2666009,5279090
"694","Pakistan","2020",65,1801861,1821463,3623324
"695","Pakistan","2020",70,1333665,1372079,2705744
"696","Pakistan","2020",75,913614,939571,1853185
"697","Pakistan","2020",80,466969,494894,961863
