"","Country","Year","Age","Female","Male","Total"
"527","France","2017",30,2025131,1968157,3993288
"528","France","2017",35,1970503,1924685,3895188
"529","France","2017",40,2193100,2166031,4359131
"530","France","2017",45,2217994,2171366,4389360
"531","France","2017",50,2216705,2137277,4353982
"532","France","2017",55,2105541,1984322,4089863
"533","France","2017",60,2056460,1895192,3951652
"534","France","2017",65,1972036,1773268,3745304
"535","France","2017",70,1309544,1124750,2434294
"536","France","2017",75,1226284,936746,2163030
"537","France","2017",80,1126608,730627,1857235
"538","France","2017",85,820728,422741,1243469
"539","France","2017",90,434882,165144,600026
"540","France","2017",95,101661,24461,126122
"541","Germany","2017",0,1701092,1791874,3492966
"542","Germany","2017",5,1704214,1804175,3508389
"543","Germany","2017",10,1845814,1962623,3808437
"544","Germany","2017",15,2036054,2173553,4209607
"545","Germany","2017",20,2153673,2301481,4455154
"546","Germany","2017",25,2476676,2624258,5100934
"547","Germany","2017",30,2540866,2627129,5167995
"548","Germany","2017",35,2420661,2456900,4877561
"549","Germany","2017",40,2511999,2561843,5073842
"550","Germany","2017",45,3297115,3374222,6671337
"551","Germany","2017",50,3419720,3487804,6907524
"552","Germany","2017",55,3011882,3015375,6027257
"553","Germany","2017",60,2624594,2507680,5132274
"554","Germany","2017",65,2184827,2052125,4236952
"555","Germany","2017",70,2254142,1982898,4237040
"556","Germany","2017",75,2364588,1851048,4215636
"557","Germany","2017",80,1499569,998346,2497915
"558","Germany","2017",85,978995,493850,1472845
"559","Germany","2017",90,448788,138122,586910
"560","Germany","2017",95,87566,19270,106836
"561","Greece","2017",0,229982,245467,475449
"562","Greece","2017",5,263917,280475,544392
"563","Greece","2017",10,260123,272076,532199
"564","Greece","2017",15,265487,276844,542331
"565","Greece","2017",20,259009,284985,543994
"566","Greece","2017",25,294441,317693,612134
"567","Greece","2017",30,366972,383305,750277
"568","Greece","2017",35,388044,402148,790192
"569","Greece","2017",40,400800,403550,804350
"570","Greece","2017",45,408021,401737,809758
"571","Greece","2017",50,372503,354327,726830
"572","Greece","2017",55,363774,336169,699943
"573","Greece","2017",60,320654,287770,608424
"574","Greece","2017",65,309456,277335,586791
"575","Greece","2017",70,241265,211124,452389
"576","Greece","2017",75,273198,211771,484969
"577","Greece","2017",80,228710,163950,392660
"578","Greece","2017",85,124715,88578,213293
"579","Greece","2017",90,44854,27566,72420
"580","Greece","2017",95,10956,5986,16942
"581","India","2017",0,56617737,62365571,118983308
"582","India","2017",5,60178746,66646489,126825235
"583","India","2017",10,59760885,67053639,126814524
"584","India","2017",15,58205670,65438169,123643839
"585","India","2017",20,55949146,62756892,118706038
"586","India","2017",25,53820136,59663745,113483881
"587","India","2017",30,49976467,54918049,104894516
"588","India","2017",35,44166159,47649721,91815880
"589","India","2017",40,39371659,41950233,81321892
"590","India","2017",45,34660631,36685165,71345796
"591","India","2017",50,30468818,32088187,62557005
"592","India","2017",55,25936429,27051249,52987678
"593","India","2017",60,21335021,21877501,43212522
"594","India","2017",65,14868579,14308182,29176761
"595","India","2017",70,10545786,9711446,20257232
"596","India","2017",75,7144301,6157964,13302265
